'num', 'street', 'street_type', 'name', 'ssn', 'album_id', 'album_name', 'date', 'album_type', 'instrument_id', 'instrument_type', 'key'
1000, 'University', 'Dr.', 'Antonio',100000000,7, 'F',2004, 'CD',9, 'flute', 'C'
1000, 'University', 'Dr.', 'Antonio',100000000,21, 'X',2010, 'MC',5, 'synthesizer', 'B'
1000, 'University', 'Dr.', 'Antonio',100000000,21, 'X',2010, 'MC',8, 'synthesizer', 'B-flat'
1000, 'University', 'Dr.', 'Antonio',100000000,21, 'X',2010, 'MC',9, 'flute', 'C'
1000, 'University', 'Dr.', 'Antonio',100000000,24, 'V',2015, 'MC',6, 'synthesizer', 'C'
1010, 'University', 'Dr.', 'Abel',100000001,5, 'D',1991, 'CD',3, 'guitar', 'E'
1010, 'University', 'Dr.', 'Abel',100000001,5, 'D',1991, 'CD',6, 'synthesizer', 'C'
1010, 'University', 'Dr.', 'Abel',100000001,7, 'F',2004, 'CD',9, 'flute', 'C'
1010, 'University', 'Dr.', 'Abel',100000001,16, 'P',1995, 'MC',3, 'guitar', 'E'
1010, 'University', 'Dr.', 'Abel',100000001,16, 'P',1995, 'MC',5, 'synthesizer', 'B'
1010, 'University', 'Dr.', 'Abel',100000001,16, 'P',1995, 'MC',8, 'synthesizer', 'B-flat'
1020, 'University', 'Dr.', 'Alex',100000002,9, 'I',2004, 'CD',6, 'synthesizer', 'C'
1020, 'University', 'Dr.', 'Alex',100000002,9, 'I',2004, 'CD',12, 'guitar', 'B'
1020, 'University', 'Dr.', 'Alex',100000002,14, 'M',1995, 'CD',3, 'guitar', 'E'
1020, 'University', 'Dr.', 'Alex',100000002,14, 'M',1995, 'CD',5, 'synthesizer', 'B'
1020, 'University', 'Dr.', 'Alex',100000002,14, 'M',1995, 'CD',9, 'flute', 'C'
1020, 'University', 'Dr.', 'Alex',100000002,15, 'O',1995, 'CD',2, 'guitar', 'C'
1020, 'University', 'Dr.', 'Alex',100000002,15, 'O',1995, 'CD',12, 'guitar', 'B'
1020, 'University', 'Dr.', 'Alex',100000002,21, 'X',2010, 'MC',5, 'synthesizer', 'B'
1020, 'University', 'Dr.', 'Alex',100000002,21, 'X',2010, 'MC',8, 'synthesizer', 'B-flat'
1020, 'University', 'Dr.', 'Alex',100000002,21, 'X',2010, 'MC',9, 'flute', 'C'
1030, 'University', 'Dr.', 'Tristan',100000003,2, 'A',1991, 'CD',4, 'guitar', 'B-flat'
1030, 'University', 'Dr.', 'Tristan',100000003,2, 'A',1991, 'CD',8, 'synthesizer', 'B-flat'
1030, 'University', 'Dr.', 'Tristan',100000003,8, 'H',2004, 'CD',6, 'synthesizer', 'C'
1030, 'University', 'Dr.', 'Tristan',100000003,10, 'J',2004, 'CD',4, 'guitar', 'B-flat'
1030, 'University', 'Dr.', 'Tristan',100000003,10, 'J',2004, 'CD',8, 'synthesizer', 'B-flat'
1030, 'University', 'Dr.', 'Tristan',100000003,10, 'J',2004, 'CD',9, 'flute', 'C'
1030, 'University', 'Dr.', 'Tristan',100000003,14, 'M',1995, 'CD',3, 'guitar', 'E'
1030, 'University', 'Dr.', 'Tristan',100000003,14, 'M',1995, 'CD',5, 'synthesizer', 'B'
1030, 'University', 'Dr.', 'Tristan',100000003,14, 'M',1995, 'CD',9, 'flute', 'C'
1030, 'University', 'Dr.', 'Tristan',100000003,15, 'O',1995, 'CD',2, 'guitar', 'C'
1030, 'University', 'Dr.', 'Tristan',100000003,15, 'O',1995, 'CD',12, 'guitar', 'B'
1030, 'University', 'Dr.', 'Tristan',100000003,19, 'S',2010, 'MC',4, 'guitar', 'B-flat'
1040, 'University', 'Dr.', 'Graham',100000004,1, 'Z',1991, 'CD',6, 'synthesizer', 'C'
1040, 'University', 'Dr.', 'Graham',100000004,1, 'Z',1991, 'CD',7, 'synthesizer', 'E'
1040, 'University', 'Dr.', 'Graham',100000004,4, 'C',1991, 'CD',2, 'guitar', 'C'
1040, 'University', 'Dr.', 'Graham',100000004,5, 'D',1991, 'CD',3, 'guitar', 'E'
1040, 'University', 'Dr.', 'Graham',100000004,5, 'D',1991, 'CD',6, 'synthesizer', 'C'
1040, 'University', 'Dr.', 'Graham',100000004,9, 'I',2004, 'CD',6, 'synthesizer', 'C'
1040, 'University', 'Dr.', 'Graham',100000004,9, 'I',2004, 'CD',12, 'guitar', 'B'
1040, 'University', 'Dr.', 'Graham',100000004,12, 'L',1995, 'CD',2, 'guitar', 'C'
1040, 'University', 'Dr.', 'Graham',100000004,15, 'O',1995, 'CD',2, 'guitar', 'C'
1040, 'University', 'Dr.', 'Graham',100000004,15, 'O',1995, 'CD',12, 'guitar', 'B'
1040, 'University', 'Dr.', 'Graham',100000004,24, 'V',2015, 'MC',6, 'synthesizer', 'C'
1050, 'University', 'Dr.', 'Zayden',100000005,5, 'D',1991, 'CD',3, 'guitar', 'E'
1050, 'University', 'Dr.', 'Zayden',100000005,5, 'D',1991, 'CD',6, 'synthesizer', 'C'
1050, 'University', 'Dr.', 'Zayden',100000005,7, 'F',2004, 'CD',9, 'flute', 'C'
1050, 'University', 'Dr.', 'Zayden',100000005,8, 'H',2004, 'CD',6, 'synthesizer', 'C'
1050, 'University', 'Dr.', 'Zayden',100000005,14, 'M',1995, 'CD',3, 'guitar', 'E'
1050, 'University', 'Dr.', 'Zayden',100000005,14, 'M',1995, 'CD',5, 'synthesizer', 'B'
1050, 'University', 'Dr.', 'Zayden',100000005,14, 'M',1995, 'CD',9, 'flute', 'C'
1050, 'University', 'Dr.', 'Zayden',100000005,16, 'P',1995, 'MC',3, 'guitar', 'E'
1050, 'University', 'Dr.', 'Zayden',100000005,16, 'P',1995, 'MC',5, 'synthesizer', 'B'
1050, 'University', 'Dr.', 'Zayden',100000005,16, 'P',1995, 'MC',8, 'synthesizer', 'B-flat'
1050, 'University', 'Dr.', 'Zayden',100000005,17, 'Q',1995, 'MC',2, 'guitar', 'C'
1050, 'University', 'Dr.', 'Zayden',100000005,17, 'Q',1995, 'MC',6, 'synthesizer', 'C'
1050, 'University', 'Dr.', 'Zayden',100000005,18, 'Y',1995, 'MC',3, 'guitar', 'E'
1050, 'University', 'Dr.', 'Zayden',100000005,18, 'Y',1995, 'MC',5, 'synthesizer', 'B'
1060, 'University', 'Dr.', 'Judah',100000006,3, 'B',1991, 'CD',1, 'guitar', 'B'
